player_id,foot,country,tier,gender,season_end_year,player,url
bf075f6b,right,GER,1st,M,2022,Roland Sallai,https://fbref.com//en/players/bf075f6b/Roland-Sallai
bf075f6b,right,GER,1st,M,2021,Roland Sallai,https://fbref.com//en/players/bf075f6b/Roland-Sallai
bf075f6b,right,GER,1st,M,2020,Roland Sallai,https://fbref.com//en/players/bf075f6b/Roland-Sallai
bf075f6b,right,GER,1st,M,2019,Roland Sallai,https://fbref.com//en/players/bf075f6b/Roland-Sallai
0eeafda5,right,FRA,1st,M,2019,Rolando,https://fbref.com//en/players/0eeafda5/Rolando
0eeafda5,right,FRA,1st,M,2018,Rolando,https://fbref.com//en/players/0eeafda5/Rolando
0eeafda5,right,POR,1st,M,2021,Rolando,https://fbref.com//en/players/0eeafda5/Rolando
0eeafda5,right,POR,1st,M,2020,Rolando,https://fbref.com//en/players/0eeafda5/Rolando
c5942695,left,ITA,1st,M,2018,Rolando Aarons,https://fbref.com//en/players/c5942695/Rolando-Aarons
c5942695,left,ENG,2nd,M,2022,Rolando Aarons,https://fbref.com//en/players/c5942695/Rolando-Aarons
c5942695,left,ENG,2nd,M,2021,Rolando Aarons,https://fbref.com//en/players/c5942695/Rolando-Aarons
c5942695,left,ENG,2nd,M,2019,Rolando Aarons,https://fbref.com//en/players/c5942695/Rolando-Aarons
c7259b83,left,ITA,1st,M,2022,Rolando Mandragora,https://fbref.com//en/players/c7259b83/Rolando-Mandragora
c7259b83,left,ITA,1st,M,2021,Rolando Mandragora,https://fbref.com//en/players/c7259b83/Rolando-Mandragora
c7259b83,left,ITA,1st,M,2020,Rolando Mandragora,https://fbref.com//en/players/c7259b83/Rolando-Mandragora
c7259b83,left,ITA,1st,M,2019,Rolando Mandragora,https://fbref.com//en/players/c7259b83/Rolando-Mandragora
c7259b83,left,ITA,1st,M,2018,Rolando Mandragora,https://fbref.com//en/players/c7259b83/Rolando-Mandragora
27baf026,right,USA,1st,M,2020,Rolf Feltscher,https://fbref.com//en/players/27baf026/Rolf-Feltscher
27baf026,right,USA,1st,M,2019,Rolf Feltscher,https://fbref.com//en/players/27baf026/Rolf-Feltscher
60f58477,left,FRA,1st,M,2022,Roli Pereira de Sa,https://fbref.com//en/players/60f58477/Roli-Pereira-de-Sa
60f58477,left,FRA,1st,M,2021,Roli Pereira de Sa,https://fbref.com//en/players/60f58477/Roli-Pereira-de-Sa
60f58477,left,FRA,1st,M,2020,Roli Pereira de Sa,https://fbref.com//en/players/60f58477/Roli-Pereira-de-Sa
d7bf3d19,right,FRA,1st,M,2021,Romain Amalfitano,https://fbref.com//en/players/d7bf3d19/Romain-Amalfitano
d7bf3d19,right,FRA,1st,M,2020,Romain Amalfitano,https://fbref.com//en/players/d7bf3d19/Romain-Amalfitano
