player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"Kieran Tierney<span class=""ui-icon country flg-gb-sct""></span>","Arsenal, ",",  D(CL),M(L)  ",1919	,35	,12	,23	
"Marc Guéhi<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  D(C)  ",3223	,122	,68	,54	
"Pontus Jansson<span class=""ui-icon country flg-se""></span>","Brentford, ",",  D(C)  ",3322	,184	,103	,81	
"Eric Dier<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  D(CR),DMC  ",3072	,124	,70	,54	
"Lukasz Fabianski<span class=""ui-icon country flg-pl""></span>","West Ham, ",",  GK  ",3330	,12	,12	,-	
"Jonny Evans<span class=""ui-icon country flg-gb-nir""></span>","Leicester, ",",  D(CL)  ",1350	,66	,48	,18	
"Malang Sarr<span class=""ui-icon country flg-fr""></span>","Chelsea, ",",  D(CL)  ",546	,20	,13	,7	
"Tyrick Mitchell<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  D(L)  ",3103	,61	,29	,32	
"Alexis Mac Allister<span class=""ui-icon country flg-ar""></span>","Brighton, ",",  M(CL),FW  ",2118	,48	,25	,23	
"Marçal<span class=""ui-icon country flg-br""></span>","Wolverhampton, ",",  D(CL),M(L)  ",1453	,44	,26	,18	
"Aaron Cresswell<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  D(CL),M(L)  ",2728	,56	,32	,24	
"Emiliano Buendía<span class=""ui-icon country flg-ar""></span>","Aston Villa, ",",  M(CLR)  ",1902	,54	,19	,35	
"Gabriel Magalhães<span class=""ui-icon country flg-br""></span>","Arsenal, ",",  D(C)  ",3068	,94	,55	,39	
"Kurt Zouma<span class=""ui-icon country flg-fr""></span>","West Ham, ",",  D(CR)  ",2080	,81	,50	,31	
"Luke Thomas<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  D(L),M(L)  ",1912	,56	,24	,32	
"Emile Smith Rowe<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  AM(CL)  ",1922	,25	,7	,18	
"Pierre-Emerick Aubameyang<span class=""ui-icon country flg-ga""></span>","Arsenal, ",",  M(CLR),FW  ",1040	,53	,25	,28	
"Jonny<span class=""ui-icon country flg-es""></span>","Wolverhampton, ",",  D(CLR),M(LR)  ",1023	,19	,11	,8	
"Asmir Begovic<span class=""ui-icon country flg-ba""></span>","Everton, ",",  GK  ",270	,5	,5	,-	
"Bryan Mbeumo<span class=""ui-icon country flg-fr""></span>","Brentford, ",",  AM(LR),FW  ",2916	,134	,29	,105	
"Çaglar Söyüncü<span class=""ui-icon country flg-tr""></span>","Leicester, ",",  D(C)  ",2498	,140	,92	,48	
"Kasper Schmeichel<span class=""ui-icon country flg-dk""></span>","Leicester, ",",  GK  ",3330	,14	,10	,4	
"Tyrone Mings<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(CL)  ",3188	,130	,83	,47	
"Alexandre Lacazette<span class=""ui-icon country flg-fr""></span>","Arsenal, ",",  M(CLR),FW  ",1789	,69	,21	,48	
"Valentino Livramento<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  D(R)  ",2203	,49	,24	,25	
"Lewis Dunk<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  D(C)  ",2574	,118	,81	,37	
"Kyle Walker<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  D(CR),M(R)  ",1756	,35	,19	,16	
"Kristoffer Ajer<span class=""ui-icon country flg-no""></span>","Brentford, ",",  D(CR),DMC  ",1987	,80	,49	,31	
"Vitaly Janelt<span class=""ui-icon country flg-de""></span>","Brentford, ",",  DMC  ",2309	,59	,34	,25	
"Cheikhou Kouyaté<span class=""ui-icon country flg-sn""></span>","Crystal Palace, ",",  D(CR),DMC  ",1978	,80	,51	,29	
"Grant Hanley<span class=""ui-icon country flg-gb-sct""></span>","Norwich, ",",  D(C)  ",2899	,135	,102	,33	
"Abdoulaye Doucouré<span class=""ui-icon country flg-ml""></span>","Everton, ",",  M(C)  ",2538	,72	,35	,37	
"Jeffrey Schlupp<span class=""ui-icon country flg-gh""></span>","Crystal Palace, ",",  D(L),M(CLR)  ",1846	,70	,31	,39	
"Che Adams<span class=""ui-icon country flg-gb-sct""></span>","Southampton, ",",  AM(CL),FW  ",2043	,155	,62	,93	
"Michael Keane<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  D(CR)  ",2793	,156	,97	,59	
"Chris Wood<span class=""ui-icon country flg-nz""></span>","Newcastle, ",",  FW  ",1328	,213	,112	,101	
"Joel Ward<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  D(LR),DMC,M(R)  ",2486	,97	,58	,39	
"Adam Webster<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  D(C)  ",1432	,72	,56	,16	
"Matt Targett<span class=""ui-icon country flg-gb-eng""></span>","Aston Villa, ",",  D(L),M(L)  ",1434	,46	,32	,14	
"Timothy Castagne<span class=""ui-icon country flg-be""></span>","Leicester, ",",  D(CLR),M(LR)  ",2126	,77	,39	,38	
"Andros Townsend<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  AM(LR),FW  ",1459	,25	,7	,18	
"Erik Pieters<span class=""ui-icon country flg-nl""></span>","Burnley, ",",  D(L),M(L)  ",727	,19	,12	,7	
"James Justin<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  D(CLR),M(LR)  ",997	,29	,13	,16	
"Ederson<span class=""ui-icon country flg-br""></span>","Manchester City, ",",  GK  ",3330	,13	,10	,3	
"Craig Dawson<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  D(CR)  ",2754	,149	,94	,55	
"Fraser Forster<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  GK  ",1710	,7	,7	,-	
"Fernandinho<span class=""ui-icon country flg-br""></span>","Manchester City, ",",  D(CR),DMC  ",960	,37	,22	,15	
"Fabian Schär<span class=""ui-icon country flg-ch""></span>","Newcastle, ",",  D(C)  ",2161	,87	,45	,42	
"Anthony Gordon<span class=""ui-icon country flg-gb-eng""></span>","Everton, ",",  AM(LR)  ",2285	,55	,17	,38	
"Leo Fuhr Hjelde<span class=""ui-icon country flg-no""></span>","Leeds, ",",  D(C)  ",148	,5	,3	,2	
"Vitalii Mykolenko<span class=""ui-icon country flg-ua""></span>","Everton, ",",  D(CL),M(L)  ",1056	,22	,10	,12	
"Joshua King<span class=""ui-icon country flg-no""></span>","Watford, ",",  AM(CLR),FW  ",2251	,220	,100	,120	
"Danny Welbeck<span class=""ui-icon country flg-gb-eng""></span>","Brighton, ",",  AM(CLR),FW  ",1477	,98	,47	,51	
"João Moutinho<span class=""ui-icon country flg-pt""></span>","Wolverhampton, ",",  M(C)  ",2975	,38	,15	,23	
"Maxwel Cornet<span class=""ui-icon country flg-ci""></span>","Burnley, ",",  D(L),M(LR),FW  ",1778	,69	,24	,45	
"Moussa Sissoko<span class=""ui-icon country flg-fr""></span>","Watford, ",",  M(CR)  ",3221	,116	,64	,52	
"Vicente Guaita<span class=""ui-icon country flg-es""></span>","Crystal Palace, ",",  GK  ",2656	,10	,9	,1	
"Arthur Masuaku<span class=""ui-icon country flg-cd""></span>","West Ham, ",",  D(L),M(L)  ",645	,22	,16	,6	
